Unnamed: 0,Country,Traditional_vs_Secular_Survey,Survival_vs_SelfExpression_Survey,Cultural_Region,Country/Territory,Traditional_vs_Secular_ChatGPT,Survival_vs_SelfExpression_ChatGPT,Diff_Traditional_vs_Secular,Abs_Diff_Traditional_vs_Secular,Squared_Diff_Traditional_vs_Secular,Diff_Survival_vs_SelfExpression,Abs_Diff_Survival_vs_SelfExpression,Squared_Diff_Survival_vs_SelfExpression
0,Albania,-0.4771711728440239,-0.7851764962357433,Orthodox Europe,Albania,-0.6087073074747795,-0.7760047794132745,-0.13153613463075564,0.13153613463075564,0.017301754713600275,0.009171716822468756,0.009171716822468756,8.412038947155638e-05
1,Algeria,-0.5141368249011488,-0.8657555477691905,African-Islamic,Algeria,-1.3541734402891952,-0.225313681987676,-0.8400366153880464,0.8400366153880464,0.7056615151926047,0.6404418657815145,0.6404418657815145,0.4101657834457075
2,Andorra,0.9009978204211738,1.7976392725969883,Catholic Europe,Andorra,0.7641746028110065,1.4267596102891194,-0.13682321761016736,0.13682321761016736,0.01872059287719921,-0.37087966230786895,0.37087966230786895,0.1375517239135989
3,Argentina,-0.1104974714589414,0.0909063832023754,Latin America,Argentina,-0.1419711803314433,0.4265247598630324,-0.03147370887250189,0.03147370887250189,0.0009905943501910045,0.33561837666065697,0.33561837666065697,0.11263969475233461
4,Armenia,-1.0800202362194398,-0.6817095651709869,Orthodox Europe,Armenia,-0.6087073074747795,0.4377633536880446,0.47131292874466024,0.47131292874466024,0.2221358768018692,1.1194729188590316,1.1194729188590316,1.2532196160587599
5,Australia,0.9017435252177154,1.8665600783766605,English-Speaking,Australia,0.6231700117068136,0.647550438421606,-0.27857351351090176,0.27857351351090176,0.07760320242980856,-1.2190096399550545,1.2190096399550545,1.4859845023033516
6,Austria,0.976633592641804,1.589933908910241,Catholic Europe,Austria,1.5632006190681005,1.0896017955387531,0.5865670264262964,0.5865670264262964,0.34406087649058753,-0.5003321133714878,0.5003321133714878,0.2503322236707793
7,Azerbaijan,-0.1153978172647851,-0.7934058461795847,West & South Asia,Azerbaijan,-0.3146744779629352,-1.439081815088995,-0.1992766606981501,0.1992766606981501,0.03971118749900564,-0.6456759689094104,0.6456759689094104,0.4168974568271059
8,Bangladesh,-1.2849825260116825,-0.6624220262401086,West & South Asia,Bangladesh,-1.0541287871256222,-1.439081815088995,0.2308537388860603,0.2308537388860603,0.05329344875767331,-0.7766597888488864,0.7766597888488864,0.6032004276147969
9,Belarus,0.6276437478604181,-0.3478208356786706,Orthodox Europe,Belarus,1.4101723806604491,-0.7760047794132745,0.782528632800031,0.782528632800031,0.6123510611518859,-0.4281839437346039,0.4281839437346039,0.18334148967211844
10,Belgium,0.4685955676837975,1.1964681147203224,Catholic Europe,Belgium,2.163289925395247,1.0896017955387531,1.6946943577114495,1.6946943577114495,2.8719889660590225,-0.1068663191815693,0.1068663191815693,0.011420410175417048
11,Bolivia,-0.9901095436078738,-0.4012258879183915,Latin America,Bolivia,-1.4875266194730057,-0.225313681987676,-0.49741707586513184,0.49741707586513184,0.24742374736221834,0.17591220593071547,0.17591220593071547,0.030945104195410446
12,Bosnia and Herzegovina,0.2469081845976974,-0.6535926195295287,Orthodox Europe,Bosnia and Herzegovina,0.6231700117068136,-0.225313681987676,0.37626182710911626,0.37626182710911626,0.1415729625394905,0.42827893754185276,0.42827893754185276,0.18342284834197822
13,Brazil,-0.0113187335189323,-0.1564884494843574,Latin America,Brazil,-0.1539948276349013,-0.225313681987676,-0.142676094115969,0.142676094115969,0.020356467832188842,-0.06882523250331862,0.06882523250331862,0.004736912629135866
14,Bulgaria,1.0279806943465133,-0.5342670453438281,Orthodox Europe,Bulgaria,0.0307321173000491,-0.225313681987676,-0.9972485770464642,0.9972485770464642,0.9945047244211976,0.3089533633561521,0.3089533633561521,0.09545218072907855
15,Burkina Faso,-0.985741844085274,-0.7602312792184739,African-Islamic,Burkina Faso,-1.15414367151348,-1.439081815088995,-0.16840182742820609,0.16840182742820609,0.028359175481159304,-0.6788505358705211,0.6788505358705211,0.4608380500516937
16,Canada,1.1661491402199742,1.6889432754220828,English-Speaking,Canada,0.6231700117068136,2.078598052139828,-0.5429791285131605,0.5429791285131605,0.2948263340009113,0.3896547767177452,0.3896547767177452,0.15183084501895586
17,Chile,0.5438052228778325,-0.1664322473331658,Latin America,Chile,-0.1419711803314433,0.136818785707162,-0.6857764032092758,0.6857764032092758,0.4702892751986512,0.3032510330403278,0.3032510330403278,0.09196118904002598
18,China,0.9296541904596944,-0.1648892442186955,Confucian,China,1.5216643829288805,-2.102158850764716,0.5920101924691861,0.5920101924691861,0.3504760679874027,-1.9372696065460207,1.9372696065460207,3.7530135284469734
19,Colombia,-1.3539069550634395,0.1533980093384213,Latin America,Colombia,-0.1539948276349013,-0.225313681987676,1.1999121274285383,1.1999121274285383,1.4397891135500807,-0.3787116913260973,0.3787116913260973,0.14342254514707317
20,Croatia,0.416396231925898,-0.0027024724088207,Protestant Europe,Croatia,1.3566124972177709,-0.225313681987676,0.9402162652918729,0.9402162652918729,0.8840066255193975,-0.2226112095788553,0.2226112095788553,0.04955575063016104
21,Cyprus,-0.1224287482036042,-0.5012639231732139,Catholic Europe,Cyprus,-0.2753243595152538,-0.225313681987676,-0.15289561131164958,0.15289561131164958,0.02337706795836303,0.2759502411855379,0.2759502411855379,0.07614853561035653
22,Czechia,1.7357610755209725,0.5525214816147306,Protestant Europe,Czechia,1.0822547269297675,1.0896017955387531,-0.6535063485912049,0.6535063485912049,0.4270705476490095,0.5370803139240226,0.5370803139240226,0.2884552636047266
23,Denmark,1.401152680387171,2.407125502812744,Protestant Europe,Denmark,1.0232295492582448,1.6365466950226808,-0.37792313112892617,0.37792313112892617,0.1428258930422915,-0.7705788077900633,0.7705788077900633,0.5937916990151553
24,Dominican Republic,-0.7499925991215359,-0.1996068142942766,Latin America,Dominican Republic,-0.1539948276349013,-1.439081815088995,0.5959977714866347,0.5959977714866347,0.3552133436170348,-1.2394750007947184,1.2394750007947184,1.536298277595067
25,Ecuador,-1.5208383002320691,-0.0574790829725152,Latin America,Ecuador,-0.7540841339620484,-0.225313681987676,0.7667541662700207,0.7667541662700207,0.5879119514924346,-0.16783459901516082,0.16783459901516082,0.02816845262657982
26,Egypt,-0.5936076503611347,-1.9862329760603497,African-Islamic,Egypt,-1.3541734402891952,-0.225313681987676,-0.7605657899280605,0.7605657899280605,0.5784603208088945,1.7609192940726737,1.7609192940726737,3.1008367602374034
27,Estonia,1.2708673995057196,0.529976491664415,Protestant Europe,Estonia,0.7761982501144649,0.4377633536880446,-0.4946691493912547,0.4946691493912547,0.2446975673594675,-0.09221313797637037,0.09221313797637037,0.00850326281544912
28,Ethiopia,-1.0958930954601072,-0.9132457547367752,African-Islamic,Ethiopia,-1.3541734402891952,-1.439081815088995,-0.258280344829088,0.258280344829088,0.06670873652503262,-0.5258360603522199,0.5258360603522199,0.2765035623667434
29,Finland,1.1672144327864618,2.023689228866883,Protestant Europe,Finland,0.7761982501144649,2.078598052139828,-0.3910161826719969,0.3910161826719969,0.15289365511138045,0.054908823272945106,0.054908823272945106,0.003014978873219518
