Country/Territory,Cultural_Region,Traditional_vs_Secular_Transformed,Survival_vs_Self_Expression_Transformed
Albania,Orthodox Europe,-0.6087073074747795,-0.7760047794132745
Algeria,African-Islamic,-1.3541734402891952,-0.225313681987676
Andorra,Catholic Europe,0.7641746028110065,1.4267596102891194
Argentina,Latin America,-0.1419711803314433,0.4265247598630324
Armenia,Orthodox Europe,-0.6087073074747795,0.4377633536880446
Australia,English-Speaking,0.6231700117068136,0.647550438421606
Austria,Catholic Europe,1.5632006190681005,1.0896017955387531
Azerbaijan,West & South Asia,-0.3146744779629352,-1.439081815088995
Bangladesh,West & South Asia,-1.0541287871256222,-1.439081815088995
Belarus,Orthodox Europe,1.4101723806604491,-0.7760047794132745
Belgium,Catholic Europe,2.163289925395247,1.0896017955387531
Bolivia,Latin America,-1.4875266194730057,-0.225313681987676
Bosnia and Herzegovina,Orthodox Europe,0.6231700117068136,-0.225313681987676
Brazil,Latin America,-0.1539948276349013,-0.225313681987676
Bulgaria,Orthodox Europe,0.0307321173000491,-0.225313681987676
Burkina Faso,African-Islamic,-1.15414367151348,-1.439081815088995
Canada,English-Speaking,0.6231700117068136,2.078598052139828
Chile,Latin America,-0.1419711803314433,0.136818785707162
China,Confucian,1.5216643829288805,-2.102158850764716
Colombia,Latin America,-0.1539948276349013,-0.225313681987676
Croatia,Protestant Europe,1.3566124972177709,-0.225313681987676
Cyprus,Catholic Europe,-0.2753243595152538,-0.225313681987676
Czechia,Protestant Europe,1.0822547269297675,1.0896017955387531
Denmark,Protestant Europe,1.0232295492582448,1.6365466950226808
Dominican Republic,Latin America,-0.1539948276349013,-1.439081815088995
Ecuador,Latin America,-0.7540841339620484,-0.225313681987676
Egypt,African-Islamic,-1.3541734402891952,-0.225313681987676
Estonia,Protestant Europe,0.7761982501144649,0.4377633536880446
Ethiopia,African-Islamic,-1.3541734402891952,-1.439081815088995
Finland,Protestant Europe,0.7761982501144649,2.078598052139828
France,Catholic Europe,1.3566124972177709,1.0896017955387531
Georgia,Orthodox Europe,-0.1419711803314433,0.4377633536880446
Germany,Protestant Europe,1.3762875564416115,2.078598052139828
Germany West,Protestant Europe,0.7761982501144649,2.078598052139828
Ghana,African-Islamic,-1.3541734402891952,-0.8321977485383355
Great Britain,English-Speaking,1.5435255598442597,1.0896017955387531
Greece,Orthodox Europe,1.2232593180339604,0.4377633536880446
Guatemala,Latin America,-1.3541734402891952,-1.439081815088995
Haiti,Latin America,-0.8874373131458589,-0.997030457971848
Hong Kong SAR,Confucian,2.163289925395247,0.4377633536880446
Hungary,Protestant Europe,1.3762875564416115,-0.225313681987676
Iceland,Protestant Europe,0.6231700117068136,1.6365466950226808
India,West & South Asia,-0.9147637842900822,-0.8321977485383355
Indonesia,West & South Asia,-0.7540841339620484,-0.225313681987676
Iran,West & South Asia,-1.3541734402891952,-0.225313681987676
Iraq,African-Islamic,-1.3541734402891952,-0.3901463914211884
Ireland,English-Speaking,0.9232146648703872,1.5840999238392903
Israel,West & South Asia,0.2974384756676699,-0.225313681987676
Italy,Catholic Europe,0.1640852964838594,0.4265247598630324
Japan,Confucian,2.121753689256028,0.2816717727850972
Jordan,African-Islamic,-0.7540841339620484,-0.225313681987676
Kazakhstan,West & South Asia,0.6231700117068136,-1.439081815088995
